quarter,house_type,avg_sqm_price_real,pct_change,volatility_4q
2002Q3,Villa,11997.4,0.5,0.907
2002Q4,Villa,11826.2,-1.43,1.064
2003Q1,Villa,11994.8,1.43,1.195
2003Q2,Villa,12302.8,2.57,1.692
2003Q3,Villa,12292.7,-0.08,1.747
2003Q4,Villa,12116.8,-1.43,1.747
2004Q1,Villa,12377.7,2.15,1.889
2004Q2,Villa,12762.3,3.11,2.068
2004Q3,Villa,13084.4,2.52,2.05
2004Q4,Villa,12963.3,-0.93,1.805
2005Q1,Villa,13363.7,3.09,1.938
2005Q2,Villa,13666.2,2.26,1.81
2005Q3,Villa,14110.8,3.25,1.947
2005Q4,Villa,14505.7,2.8,0.435
2006Q1,Villa,14559.7,0.37,1.266
2006Q2,Villa,15341.6,5.37,2.051
2006Q3,Villa,15351.3,0.06,2.472
2006Q4,Villa,14938.0,-2.69,3.356
2007Q1,Villa,15721.4,5.24,3.984
2007Q2,Villa,16285.1,3.59,3.558
2007Q3,Villa,16227.7,-0.35,3.62
2007Q4,Villa,15914.9,-1.93,3.34
2008Q1,Villa,15532.1,-2.41,2.723
2008Q2,Villa,16055.4,3.37,2.619
2008Q3,Villa,15554.9,-3.12,2.969
2008Q4,Villa,14982.4,-3.68,3.262
2009Q1,Villa,14447.7,-3.57,3.422
2009Q2,Villa,14981.5,3.7,3.587
2009Q3,Villa,15258.4,1.85,3.772
2009Q4,Villa,15102.2,-1.02,3.197
2010Q1,Villa,14907.9,-1.29,2.394
2010Q2,Villa,15087.2,1.2,1.574
2010Q3,Villa,14570.2,-3.43,1.894
2010Q4,Villa,13830.7,-5.08,2.719
2011Q1,Villa,14731.5,6.51,5.204
2011Q2,Villa,14527.1,-1.39,5.132
2011Q3,Villa,13919.8,-4.18,5.27
2011Q4,Villa,13639.9,-2.01,4.674
2012Q1,Villa,13631.4,-0.06,1.718
2012Q2,Villa,13818.0,1.37,2.411
2012Q3,Villa,13983.6,1.2,1.56
2012Q4,Villa,13935.6,-0.34,0.868
2013Q1,Villa,14182.8,1.77,0.925
2013Q2,Villa,14285.7,0.73,0.894
2013Q3,Villa,14545.3,1.82,1.022
2013Q4,Villa,14388.3,-1.08,1.356
2014Q1,Villa,14200.6,-1.3,1.494
2014Q2,Villa,14428.4,1.6,1.679
2014Q3,Villa,14493.1,0.45,1.365
2014Q4,Villa,14611.2,0.81,1.225
2015Q1,Villa,15171.6,3.84,1.521
2015Q2,Villa,15491.6,2.11,1.534
2015Q3,Villa,14737.9,-4.87,3.772
2015Q4,Villa,14629.1,-0.74,3.805
2016Q1,Villa,14924.8,2.02,3.279
2016Q2,Villa,15491.1,3.79,3.773
2016Q3,Villa,15290.5,-1.29,2.386
2016Q4,Villa,15442.0,0.99,2.121
2017Q3,Villa,15504.1,0.4,2.112
2017Q4,Villa,15294.5,-1.35,1.188
2018Q1,Villa,15611.5,2.07,1.43
2018Q2,Villa,15711.3,0.64,1.403
2018Q3,Villa,16170.4,2.92,1.868
2018Q4,Villa,15469.3,-4.34,3.248
2019Q1,Villa,15369.0,-0.65,3.038
2019Q2,Villa,16041.0,4.37,3.897
2019Q3,Villa,16246.2,1.28,3.646
2019Q4,Villa,16301.7,0.34,2.171
2020Q1,Villa,16369.8,0.42,1.893
2020Q2,Villa,16499.9,0.79,0.429
2020Q3,Villa,16942.4,2.68,1.099
2020Q4,Villa,17163.4,1.3,0.99
2021Q1,Villa,16858.7,-1.78,1.865
2021Q2,Villa,17140.3,1.67,1.922
2021Q3,Villa,17086.8,-0.31,1.586
2021Q4,Villa,17513.8,2.5,1.934
2022Q1,Villa,16349.7,-6.65,4.14
2022Q2,Villa,16201.2,-0.91,3.838
2022Q3,Villa,15668.6,-3.29,3.86
2022Q4,Villa,15342.6,-2.08,2.477
2023Q1,Villa,15780.4,2.85,2.656
2023Q2,Villa,16178.1,2.52,3.142
2023Q3,Villa,16664.3,3.01,2.445
2023Q4,Villa,16315.8,-2.09,2.45
2024Q1,Villa,16252.4,-0.39,2.422
2024Q2,Villa,16728.6,2.93,2.528
2024Q3,Villa,15619.2,-6.63,3.98
2024Q4,Villa,14598.4,-6.54,4.733
